Absolutdruck 1 vs Winkelposition, Messreihe #1
Winkelposition ( rad )	Absolutdruck 1 ( kPa )
-1,052	98,02
-1,054	97,92
-1,056	97,82
-1,057	97,75
-1,060	97,65
-1,060	97,61
-1,062	97,57
-1,063	97,53
-1,063	97,51
-1,063	97,45
-1,063	97,47
-1,063	97,46
-1,063	97,44
-1,062	97,41
-1,062	97,39
-1,059	97,46
-1,057	97,44
-1,054	97,44
-1,052	97,47
-1,049	97,47
-1,046	97,50
-1,041	97,55
-1,037	97,61
-1,032	97,67
-1,027	97,73
-1,023	97,82
-1,018	97,96
-1,012	98,04
-1,005	98,16
-0,999	98,26
-0,991	98,43
-0,983	98,52
-0,975	98,65
-0,968	98,81
-0,960	98,91
-0,952	99,10
-0,942	99,25
-0,935	99,43
-0,924	99,56
-0,914	99,80
-0,905	99,95
-0,894	100,15
-0,883	100,39
-0,873	100,60
-0,861	100,82
-0,850	101,03
-0,837	101,31
-0,826	101,54
-0,814	101,86
-0,801	102,05
-0,789	102,33
-0,774	102,63
-0,762	102,91
-0,748	103,20
-0,734	103,50
-0,719	103,83
-0,705	104,19
-0,691	104,47
-0,677	104,82
-0,661	105,12
-0,647	105,54
-0,630	105,93
-0,616	106,29
-0,598	106,70
-0,584	107,08
-0,567	107,46
-0,551	107,94
-0,534	108,36
-0,517	108,74
-0,501	109,19
-0,484	109,56
-0,467	110,09
-0,449	110,62
-0,432	111,02
-0,415	111,55
-0,397	112,14
-0,379	112,60
-0,361	113,17
-0,344	113,75
-0,325	114,21
-0,308	114,82
-0,289	115,29
-0,272	116,00
-0,253	116,59
-0,234	117,10
-0,217	117,74
-0,198	118,44
-0,181	118,99
-0,162	119,71
-0,145	120,18
-0,126	120,93
-0,108	121,58
-0,090	122,22
-0,072	122,89
-0,053	123,58
-0,035	124,19
-0,016	124,93
0,002	125,68
0,019	126,26
0,038	127,07
0,055	127,68
0,072	128,49
0,090	129,28
0,107	129,95
0,124	130,76
0,141	131,63
0,159	132,29
0,174	133,19
0,192	134,01
0,209	134,74
0,225	135,64
0,242	136,25
0,258	137,14
0,273	138,04
0,289	138,81
0,306	139,68
0,320	140,54
0,336	141,28
0,352	142,12
0,366	142,97
0,382	143,67
0,396	144,66
0,412	145,56
0,426	146,24
0,440	147,16
0,454	148,03
0,468	148,76
0,481	149,67
0,495	150,55
0,507	151,22
0,520	152,09
0,533	153,00
0,545	153,63
0,558	154,55
0,569	155,21
0,581	156,07
0,594	156,87
0,605	157,59
0,616	158,41
0,627	159,23
0,638	159,93
0,649	160,67
0,660	161,44
0,669	162,08
0,680	162,87
0,690	163,67
0,699	164,25
0,708	165,01
0,718	165,70
0,727	166,24
0,735	167,01
0,745	167,73
0,752	168,28
0,760	168,92
0,768	169,44
0,776	170,15
0,784	170,74
0,792	171,27
0,798	171,85
0,804	172,48
0,812	172,92
0,818	173,46
0,825	174,03
0,831	174,44
0,837	175,04
0,844	175,51
0,848	175,95
0,855	176,49
0,859	176,93
0,864	177,31
0,870	177,77
0,875	178,23
0,880	178,57
0,884	179,07
0,888	179,36
0,892	179,77
0,897	180,19
0,900	180,46
0,903	180,79
0,906	181,07
0,909	181,34
0,913	181,71
0,916	182,11
0,919	182,29
0,922	182,62
0,925	182,85
0,928	183,14
0,930	183,35
0,931	183,62
0,933	183,84
0,936	183,98
0,938	184,25
0,939	184,37
0,941	184,56
0,941	184,82
0,942	184,92
0,944	185,05
0,946	185,27
0,946	185,39
0,946	185,52
0,946	185,55
0,947	185,70
0,947	185,83
0,947	185,82
0,947	185,93
0,947	185,97
0,947	186,09
0,947	186,13
0,947	186,18
0,947	186,15
0,947	186,21
0,947	186,13
0,946	186,14
0,944	186,21
0,942	186,13
0,941	186,14
0,939	186,02
0,938	186,00
0,936	185,89
0,935	185,89
0,931	185,74
0,930	185,68
0,928	185,57
0,925	185,40
0,922	185,26
0,919	185,22
0,916	185,02
0,913	184,86
0,909	184,63
0,905	184,40
0,902	184,27
0,898	184,04
0,894	183,88
0,889	183,53
0,886	183,39
0,881	183,10
0,877	182,88
0,872	182,60
0,866	182,28
0,861	182,14
0,855	181,74
0,850	181,38
0,844	181,10
0,837	180,66
0,831	180,41
0,825	180,05
0,818	179,66
0,811	179,19
0,804	178,85
0,798	178,45
0,790	178,00
0,782	177,55
0,774	177,12
0,767	176,76
0,759	176,19
0,749	175,67
0,741	175,30
0,732	174,78
0,724	174,15
0,715	173,76
0,705	173,15
0,696	172,55
0,685	172,02
0,675	171,42
0,664	170,79
0,653	170,38
0,644	169,66
0,633	168,97
0,622	168,47
0,609	167,74
0,598	167,04
0,587	166,42
0,575	165,75
0,562	165,14
0,550	164,43
0,537	163,63
0,525	162,91
0,512	162,20
0,498	161,41
0,485	160,86
0,471	160,01
0,457	159,12
0,443	158,47
0,429	157,71
0,413	156,82
0,399	156,11
0,383	155,28
0,369	154,43
0,353	153,68
0,338	152,88
0,322	151,93
0,306	151,24
0,289	150,34
0,273	149,71
0,256	148,69
0,239	147,81
0,223	147,12
0,206	146,21
0,188	145,26
0,171	144,51
0,154	143,72
0,137	142,70
0,119	142,03
0,101	141,12
0,083	140,15
0,066	139,40
0,049	138,52
0,030	137,56
0,011	136,75
-0,006	135,80
-0,025	134,94
-0,044	134,21
-0,063	133,30
-0,082	132,55
-0,101	131,66
-0,118	130,79
-0,137	130,07
-0,156	129,24
-0,174	128,38
-0,193	127,66
-0,212	126,75
-0,231	126,00
-0,250	125,35
-0,269	124,57
-0,287	123,89
-0,306	123,02
