Absolutdruck 1, Messreihe #1
Zeit ( s )	Absolutdruck 1 ( kPa )
147,2000	100,48
147,3000	135,85
147,4000	168,61
147,5000	104,18
147,6000	110,46
147,7000	169,51
147,8000	128,19
147,9000	104,90
148,0000	154,31
148,1000	139,21
148,2000	99,09
148,3000	144,80
148,4000	165,24
148,5000	100,84
148,6000	116,87
148,7000	169,01
148,8000	119,06
148,9000	109,95
149,0000	161,61
149,1000	128,69
149,2000	99,23
149,3000	153,89
149,4000	139,54
149,5000	99,10
149,6000	144,58
149,7000	165,36
149,8000	100,99
149,9000	116,51
150,0000	169,14
150,1000	119,58
150,2000	109,63
150,3000	161,15
150,4000	129,66
150,5000	99,15
150,6000	153,19
150,7000	159,45
150,8000	99,21
150,9000	124,32
151,0000	165,94
151,1000	111,77
151,2000	115,79
151,3000	166,47
151,4000	120,10
151,5000	108,94
151,6000	160,68
151,7000	130,06
151,8000	99,05
151,9000	152,60
152,0000	159,77
152,1000	99,28
152,2000	124,00
152,3000	165,84
152,4000	111,69
152,5000	115,91
